"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","0.366","0.506","0.750","0.425","0.883","0.517","0.661"
"mean","0.353","0.504","0.735","0.427","0.885","0.509","0.656"
