"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","0.000","0.481","0.317","1.000","0.000","0.317","0.500"
"mean","0.000","0.488","0.325","1.000","0.000","0.325","0.500"
