"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","0.405","0.584","0.733","0.563","0.835","0.623","0.786"
"mean","0.399","0.576","0.739","0.552","0.834","0.619","0.782"
