"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","0.000","0.481","0.317","1.000","0.000","0.480","0.660"
"mean","0.000","0.480","0.318","1.000","0.000","0.484","0.661"
