"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","0.402","0.580","0.742","0.553","0.833","0.515","0.699"
"mean","0.390","0.564","0.741","0.544","0.835","0.518","0.689"
