"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","0.357","0.485","0.742","0.400","0.899","0.513","0.648"
"mean","0.357","0.492","0.738","0.407","0.900","0.512","0.653"
