"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","0.406","0.577","0.744","0.536","0.837","0.529","0.692"
"mean","0.385","0.561","0.740","0.539","0.835","0.511","0.687"
