"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","0.369","0.542","0.733","0.500","0.852","0.586","0.758"
"mean","0.368","0.539","0.734","0.498","0.848","0.587","0.757"
