"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","0.298","0.443","0.717","0.353","0.896","0.464","0.622"
"mean","0.273","0.412","0.714","0.327","0.898","0.460","0.612"
