"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","0.236","0.370","0.700","0.267","0.911","0.438","0.590"
"mean","0.239","0.364","0.706","0.275","0.909","0.440","0.592"
