"","MCC","F1_score","accuracy","TP_rate","TN_rate","PR_AUC","ROC_AUC"
"median","-0.009","0.148","0.633","0.093","0.899","0.315","0.497"
"mean","-0.006","0.164","0.629","0.137","0.858","0.324","0.497"
